WindowSize,CompressionLevel,Performance
10,10,363.364
16,8,7.548
18,6,7.51
18,1,1.63
22,3,2.5
14,5,4.678
22,7,19.626
24,7,20.228
22,9,34.292
20,2,2.088
22,7,19.626
13,7,5.554
18,3,2.562
10,2,2.146
19,0,1.614
11,10,343.594
13,0,1.514
11,11,343.996
20,5,7.45
23,9,63.68
20,4,2.808
20,1,1.636
19,1,1.604
11,1,1.526
16,0,1.59
14,4,2.894
22,8,25.432
17,5,5.886
23,2,2.032
19,5,7.372
18,4,2.824
12,10,328.816
15,3,2.392
23,6,10.22
21,10,244.734
11,11,343.996
17,10,307.144
17,3,2.564
13,6,4.3
18,9,11.954
11,3,2.476
24,9,108.602
15,6,5.306
19,4,2.8
18,3,2.562
23,8,37.284
11,7,5.078
20,2,2.088
21,9,23.614
24,9,108.602
11,4,3.04
12,5,3.746
21,4,2.768
21,4,2.768
22,2,2.05
15,9,8.084
15,1,1.52
10,0,1.662
15,3,2.392
22,6,10.266
17,5,5.886
22,5,7.198
11,10,343.594
10,8,5.046
17,1,1.612
16,4,2.77
20,2,2.088
23,10,318.954
23,7,20.474
16,11,284.296
16,10,285.0
10,9,6.246
11,11,343.996
11,10,343.594
14,0,1.472
14,6,4.874
18,3,2.562
15,2,1.972
24,6,10.176
19,11,258.502
15,9,8.084
20,5,7.45
14,9,7.404
18,2,2.094
22,2,2.05
14,11,301.078
23,6,10.22
18,0,1.628
13,3,2.37
12,5,3.746
16,11,284.296
14,8,6.086
18,1,1.63
11,5,3.49
12,3,2.426
22,1,1.586
21,4,2.768
23,5,7.178
20,7,12.338
13,1,1.514
